Event	Date/Time	Latitude	Longitude	Depth water [m]	Bottle	[NH4]+ [µmol/l]
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	1.2	24	0.18
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	49.5	21	0.32
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	100.0	19	0.03
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	124.6	18	0.02
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	150.0	17	0.00
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	199.7	14	0.07
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	247.4	12	0.00
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	298.5	11	0.02
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	371.1	9	0.01
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	445.1	7	0.02
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	593.9	5	0.01
M77/4-CTD10	2009-01-30T01:00	-14.00000	-80.99883	993.2	1	0.04
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	160.2	22	0.03
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	168.8	21	0.02
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	199.3	20	0.07
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	298.3	19	0.03
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	372.1	18	0.00
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	596.5	16	0.02
M77/4-CTD18	2009-01-31T20:45	-14.00000	-85.83333	998.2	12	0.00
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	9.5	20	0.16
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	50.3	17	0.84
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	120.1	12	0.00
M77/4-CTD19	2009-01-31T23:49	-14.00000	-85.83333	251.2	6	0.04
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	25.3	22	0.05
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	49.5	21	1.10
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	100.0	20	0.02
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	119.9	19	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	127.2	17	0.14
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	200.3	14	0.01
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	244.8	13	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	297.9	12	0.09
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	397.8	11	0.03
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	519.7	8	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	594.2	7	0.00
M77/4-CTD27	2009-02-02T08:33	-10.00000	-85.83333	990.7	5	0.00
M77/4-CTD35	2009-02-04T12:35	-3.58333	-85.83333	496.1	24	0.01
M77/4-CTD35	2009-02-04T12:35	-3.58333	-85.83333	990.7	19	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	1.8	24	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	24.6	22	0.17
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	50.6	21	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	99.4	19	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	150.1	18	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	172.8	15	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	199.8	14	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	217.6	10	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	247.2	9	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	298.9	8	0.00
M77/4-CTD36	2009-02-04T15:24	-3.58333	-85.83333	397.6	6	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	1.2	24	0.52
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	24.8	23	0.50
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	50.1	22	0.06
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	123.9	19	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	150.4	18	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	198.3	14	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	227.0	13	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	248.3	12	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	297.2	11	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	346.4	10	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	399.2	7	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	497.9	6	0.00
M77/4-CTD47	2009-02-06T16:22	-3.58333	-81.34400	595.0	4	0.00
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	1.1	24	0.08
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	20.3	22	1.14
M77/4-CTD51	2009-02-07T17:43	-6.00000	-81.50050	41.1	21	0.00
