Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	[NH4]+ OR [nmol/l/day]	Std dev [±] (Ammonium oxidation)	[NO2]- OR [nmol/l/day]	Std dev [±] (Nitrite oxidation)	[NO3]- RR [nmol/l/day]	Std dev [±] (Nitrate reduction)	Anammox rate [nmol/l/day]	Std dev [±] (Anammox)	DNRA [nmol/l/day]	Std dev [±] (DNRA)	Denitrifi [nmol/l/day] (coupled to H2S oxidation)	Std dev [±] (Denitrification H2S)	Denitrifi [nmol/l/day]	Std dev [±] (Denitrification)
M77/4-CTD10	2009-01-30T01:00	-14.0000	-80.9988	150	84	2.05	0.07	25.50	2.99	22.64	2.32	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD10	2009-01-30T01:00	-14.0000	-80.9988	200	84	0.00	0.00	25.57	3.10	38.87	11.06	5.37	1.09	0.00	0.00	0	0.00	1.85	0.43
M77/4-CTD10	2009-01-30T01:00	-14.0000	-80.9988	299	84	0.00	0.00	0.00	0.00	43.38	6.45	1.62	0.19	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD10	2009-01-30T01:00	-14.0000	-80.9988	371	84	0.00	0.00	0.00	0.00	12.07	0.68	3.06	0.28	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD10	2009-01-30T01:00	-14.0000	-80.9988	445	84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD18	2009-01-31T20:45	-14.0000	-85.8333	160	93	0.00	0.00	0.00	0.00	11.32	1.01	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD18	2009-01-31T20:45	-14.0000	-85.8333	170	93	0.00	0.00	0.00	0.00	24.96	3.03	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD18	2009-01-31T20:45	-14.0000	-85.8333	200	93	0.00	0.00	0.00	0.00	29.89	3.05	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD18	2009-01-31T20:45	-14.0000	-85.8333	300	93	0.00	0.00	0.00	0.00	15.83	1.26	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD18	2009-01-31T20:45	-14.0000	-85.8333	375	93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD27	2009-02-02T08:33	-10.0000	-85.8333	125	101	0.00	0.00	0.00	0.00	12.90	2.75	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD27	2009-02-02T08:33	-10.0000	-85.8333	200	101	0.00	0.00	0.00	0.00	7.64	0.44	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD27	2009-02-02T08:33	-10.0000	-85.8333	300	101	0.00	0.00	0.00	0.00	9.37	0.34	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD27	2009-02-02T08:33	-10.0000	-85.8333	400	101	0.00	0.00	17.44	1.27	12.13	1.43	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD27	2009-02-02T08:33	-10.0000	-85.8333	525	101	0.00	0.00	0.00	0.00	4.07	0.46	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD36	2009-02-04T15:24	-3.5833	-85.8333	200	109	0.00	0.00	14.94	5.67	8.28	1.18	2.08	0.57	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD36	2009-02-04T15:24	-3.5833	-85.8333	218	109	0.00	0.00	0.00	0.00	9.51	3.64	1.80	0.21	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD36	2009-02-04T15:24	-3.5833	-85.8333	299	109	0.00	0.00	5.92	1.55	27.66	3.75	1.91	0.43	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD36	2009-02-04T15:24	-3.5833	-85.8333	398	109	0.00	0.00	0.00	0.00	17.70	1.74	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD47	2009-02-06T16:22	-3.5833	-81.3440	227	119	7.46	0.26	27.89	0.82	28.72	2.16	3.40	0.87	1.14	0.29	0	0.00	0.00	0.00
M77/4-CTD47	2009-02-06T16:22	-3.5833	-81.3440	346	119	0.00	0.00	12.56	1.59	15.49	1.06	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD47	2009-02-06T16:22	-3.5833	-81.3440	498	119	0.00	0.00	6.02	0.59	11.94	0.60	5.87	1.56	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD51	2009-02-07T17:43	-6.0000	-81.5005	41	123	70.10	2.20	33.42	7.92	59.44	19.12	18.05	0.66	1.30	0.19	0	0.00	0.00	0.00
M77/4-CTD51	2009-02-07T17:43	-6.0000	-81.5005	199	123	0.00	0.00	20.13	7.37	8.17	0.39	4.43	0.69	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD51	2009-02-07T17:43	-6.0000	-81.5005	299	123	0.00	0.00	0.00	0.00	54.34	5.37	6.68	1.11	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD51	2009-02-07T17:43	-6.0000	-81.5005	432	123	0.00	0.00	0.00	0.00	6.77	1.78	1.08	0.15	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD64	2009-02-09T20:42	-6.0000	-85.8332	74	134	0.00	0.00	14.07	0.89	6.71	0.42	2.20	0.63	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD64	2009-02-09T20:42	-6.0000	-85.8332	200	134	0.00	0.00	0.00	0.00	3.26	0.28	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
M77/4-CTD64	2009-02-09T20:42	-6.0000	-85.8332	258	134	0.00	0.00	17.40	1.11	8.71	0.41	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00
